"initial data","nodes number","recall"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","6","0.3333333333333333"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","1.0"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","1.0"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","1.0"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
"A","9","0.6"
